"county","bf_acreage","county_lower","county_name","countyfip","infant_pop","num_child_tested","per_child_tested","num_highlead","per_highlead_h","acstotpop","acsipovbas","acseducbas","acstothh","acstothu","minorpop","minorpct","lowincome","lowincpct","lesshs","lesshspct","lingiso","lingisopct","under5","under5pct","over64","over64pct","pre1960","pre1960pct","vuleopct","vuleo","dispeo","dslpm","cancer_h","ptraf","pwdis","pnpl","prmp","ptsdf","ozone","pm25_h","region","arealand","areawater","npl_cnt","tsdf_cnt","shape_length","shape_area","county.y"
"Alamance",347.22,"alamance","ALAMANCE",37001,11501,1626,0.141,14,0.009,1443.22352941176,1403.96470588235,960.6,576.341176470588,629.611764705882,578.835294117647,0.421912040247046,607.047058823529,0.458316695265797,154.517647058824,0.177882942856717,18.5058823529412,0.0328507400152841,86.9764705882353,0.0578049606850191,228.152941176471,0.167161493801833,167.670588235294,0.302887921827708,0.440114367756422,600.882816164203,89.6914181126789,0.335418284773882,34.8691270213731,366.069584306659,0.203907450907694,0.0183422919927781,0.570758067870546,1.05154831853597,43.4529743483276,8.31133654311039,4,6306928.89411765,183781.870588235,0,0.105882352941176,14143.9182164801,9952893.07182342,"alamance"
"Beaufort",191.18,"beaufort","BEAUFORT",37013,2832,348,0.123,11,0.032,1581.85,1559.95,1098.35,637.8,802.65,581.25,0.419509360225471,695.1,0.497014284724322,134.05,0.130242060767373,4.9,0.0104240438477351,87.15,0.0565512071033891,352.3,0.221488877917535,154.35,0.233901412866552,0.458261822474896,642.696723739613,82.4036738214293,0.174673383503,27.3511152678595,144.213891629567,0.0002383767811705,0.246436531842649,0.321561665730171,0.449796384660238,39.4314465359477,7.25835770136986,4,30991258,3377115.25,0.05,0.05,30778.22117023,51975461.0887474,"beaufort"
"Buncombe",756.89,"buncombe","BUNCOMBE",37021,15775,1771,0.112,14,0.008,1661.40909090909,1620.38636363636,1218.38636363636,714.886363636364,805.602272727273,314.284090909091,0.195744943241818,542.670454545455,0.356334825318456,104.647727272727,0.0859635837492792,20.6818181818182,0.0306815352774994,80.9204545454545,0.0478530981051276,305.727272727273,0.182356948444118,222.159090909091,0.319308139921708,0.276039884280137,436.944852771532,-151.528116667575,0.318168658762091,28.6636996804353,547.566281758686,0.238461667964777,0.203554147131425,0.282378637558495,2.10170409219519,42.9736150549614,7.38026024346202,4,6450705.17045455,75362.75,0.0227272727272727,0.227272727272727,14908.2260195218,9896122.99624087,"buncombe"
"Burke",209.04,"burke","BURKE",37023,5268,515,0.098,8,0.016,1597.94444444444,1564.02777777778,1163.22222222222,627.361111111111,747.111111111111,332.916666666667,0.189146865013904,652.361111111111,0.403094093919334,210.861111111111,0.190412678383017,16.8611111111111,0.0224524400776608,72.0833333333333,0.0422479437389367,318.583333333333,0.21895414719123,178.638888888889,0.251950685821971,0.296120479466619,501.560928006074,-64.4327922440102,0.232507634211149,32.5592654586338,128.045102326312,0.00773249620175067,0.0177267909544838,0.838861874273675,0.804105597398506,42.5815480936819,8.10463108143075,4,21770552.5277778,567179.611111111,0,0.166666666666667,25375.6015016565,34035794.3704095,"burke"
"Cabarrus",172.83,"cabarrus","CABARRUS",37025,16305,1600,0.098,11,0.007,2827.80952380952,2811.90476190476,1852.90476190476,989,1052.57142857143,862.952380952381,0.263363562442819,716.904761904762,0.265873644034345,145.285714285714,0.0920095543468303,14.1428571428571,0.0148764878918354,181.380952380952,0.0663868675820553,320.285714285714,0.128957775314074,79.9047619047619,0.0987597127853297,0.264618603238582,792.260515991844,-209.352799229527,0.379400799380952,37.6444141063755,81.2955938099495,0.00111371475652605,0.15209166960542,0.398267579020729,0.474224605880233,46.1516278555867,8.73094808871494,4,16379186.3809524,14045.4285714286,0,0.19047619047619,21514.2334062857,24673665.3058633,"cabarrus"
"Catawba",171.218,"catawba","CATAWBA",37035,10929,1152,0.105,8,0.007,1676.17441860465,1644.93023255814,1151.77906976744,652.616279069767,733.53488372093,421.941860465116,0.24713053031774,592.232558139535,0.360288352245884,168.395348837209,0.151883164870275,17.6395348837209,0.0258601407380234,96.6162790697674,0.0566404343457717,283.697674418605,0.173150785219548,137.011627906977,0.209792692625976,0.303709441281812,513.906960004143,-79.7959051188708,0.278695899816999,35.9277708421928,182.817804040897,3.61670932300611,0.0435199190913475,0.752070994419048,1.61154915664189,44.0584952652379,8.79301480312201,4,9922149.77906977,397672.813953488,0,0.255813953488372,18668.2269602923,15670529.9096095,"catawba"
"Cleveland",187.67,"cleveland","CLEVELAND",37045,6597,1438,0.218,13,0.009,1394.51428571429,1351.28571428571,930.142857142857,515.942857142857,590.828571428571,356.485714285714,0.263519436297645,623.2,0.463990915522149,135.142857142857,0.149108282185329,2.45714285714286,0.0059735401570736,78.1428571428571,0.0544234254072409,237.571428571429,0.182535505019087,107.4,0.186669653355512,0.363755175909897,495.207398157991,1.26886903238767,0.295288017064569,37.2670708755382,121.211742779003,1.94568668960193,0.143055323464534,0.422300665910404,0.728094103146057,43.9190135947713,8.91612711389432,4,12300566.3142857,142679.142857143,0.0285714285714286,0.142857142857143,20862.8715137333,18693012.8514449,"cleveland"
"Craven",92.5,"craven","CRAVEN",37049,7891,2111,0.268,9,0.004,1619.65909090909,1510.02272727273,1010.52272727273,635.340909090909,726.909090909091,579.113636363636,0.388968593257766,586.272727272727,0.421424034919554,124.045454545455,0.13823510676978,7.25,0.0103654878497384,110.522727272727,0.0674706032552931,236.909090909091,0.1550434114454,121.954545454545,0.225050855586666,0.40519631408866,589.217152427359,15.5320799658945,0.15423199486607,28.7234004887603,225.374726708227,0.000612389970081432,0.135647050153907,0.5389583330141,0.385137566546995,38.0660620320856,7.04336138169365,4,24916232.7727273,2765311.02272727,0.0227272727272727,0.0454545454545455,26414.8648327041,41428417.6733339,"craven"
"Cumberland",258.11,"cumberland","CUMBERLAND",37051,29720,2496,0.084,13,0.005,1805.36363636364,1652.62121212121,1053.60606060606,641.318181818182,748,996.742424242424,0.584586969394196,743.712121212121,0.472795382726518,113.151515151515,0.125419952037615,15.3030303030303,0.0214696940005703,146.893939393939,0.0736889166501416,186.242424242424,0.114826535973913,93.8787878787879,0.16581969440743,0.528691176060357,892.947097499787,253.485266081154,0.293544103883567,36.0499557806277,357.102665926096,0.0978370113241857,0.143492455572605,0.621557181407887,0.837338060145764,42.5052760249554,8.48865563511831,4,12092914.4242424,146480.090909091,0.0151515151515152,0.121212121212121,18046.3991040285,18325320.3858374,"cumberland"
"Davidson",37.95,"davidson","DAVIDSON",37057,11121,2310,0.208,14,0.006,1542.37837837838,1511.90540540541,1076.91891891892,613.756756756757,695.121621621622,338.891891891892,0.250411034865449,606.013513513514,0.443079787597473,184.202702702703,0.192456961682041,11.7162162162162,0.023912730459382,86.4189189189189,0.0531535544978904,266.459459459459,0.17717131613535,142.662162162162,0.23333216933107,0.346745411231461,481.202226063878,-65.1099310619464,0.318821033153649,35.7342207139385,166.764000165602,0.00270606337992413,0.0258910091712935,0.578608495530199,1.00193203062812,45.7648603956898,8.41810601925213,4,14050569.8378378,260896.243243243,0,0.148648648648649,20900.0190300656,21800175.9459918,"davidson"
